word,scaled_implicit_score
resister,0.9736674004740712
paint,0.9736674004740712
lucky,0.9736674004740712
plot,0.9700183853776516
economically,0.9651953661272343
offices,0.9651953661272343
honour,0.9651953661272343
shirt,0.9651953661272343
colonized,0.9651953661272343
eggs,0.9651953661272343
orchestrated,0.9651953661272343
google,0.9651953661272343
handed,0.9651953661272343
correctness,0.9585231566222732
celebrate,0.9585231566222732
heritage,0.9556917938472175
highest,0.9524455512446139
elders,0.9486860311402132
stockholm,0.9486860311402132
spencer,0.9486860311402132
violences,0.9486860311402132
developing,0.9486860311402132
rubbing,0.9486860311402132
companies,0.9486860311402132
tons,0.9486860311402132
uncle,0.9486860311402132
impoverished,0.9486860311402132
heal,0.9486860311402132
bedroom,0.9486860311402132
acceptance,0.9486860311402132
grows,0.9486860311402132
accompanying,0.9486860311402132
champion,0.9486860311402132
guests,0.9486860311402132
letters,0.9486860311402132
succeeded,0.9486860311402132
fish,0.9486860311402132
croatia,0.9486860311402132
argue,0.9486860311402132
taylor,0.9486860311402132
colony,0.9486860311402132
adopt,0.9486860311402132
exclusively,0.9486860311402132
table,0.9486860311402132
obtain,0.9486860311402132
deliberately,0.9486860311402132
jewishness,0.9486860311402132
consumed,0.9486860311402132
concept,0.9486860311402132
perish,0.9486860311402132
38,0.9486860311402132
banks,0.9486860311402132
exploded,0.9486860311402132
introduce,0.9486860311402132
dawn,0.9486860311402132
thrive,0.9486860311402132
hollywood,0.9486860311402132
workforce,0.9486860311402132
baths,0.9486860311402132
imposing,0.9486860311402132
wheelchair,0.9486860311402132
brilliant,0.9486860311402132
inherited,0.9486860311402132
relation,0.9486860311402132
sees,0.9486860311402132
brotherhood,0.9486860311402132
tlot,0.9486860311402132
labelled,0.9486860311402132
courageous,0.9486860311402132
globe,0.9486860311402132
ethnostate,0.9486860311402132
artists,0.9486860311402132
worldwide,0.9390487672996066
council,0.9390487672996066
mainstream,0.9327319713625383
holohoax,0.9327319713625383
sports,0.9327319713625383
reading,0.9327319713625383
historical,0.9327319713625383
disability,0.9327319713625383
